Old Method Output,New Method1 Output,New Method2 Output
91268,91268,91268
275979,275979,275979
558616,558616,558616
946247,946247,946247
1449598,1449598,1449598
2086161,2086161,2086161
2880855,2880855,2880855
3875965,3875965,3875965
5147729,5147729,5147729
6859198,6859198,6859198
56360,56360,56360
174207,174207,174207
366654,366654,366654
665853,665853,665853
1087067,1087067,1087067
1085765,1085765,1085765
1084035,1084035,1084035
1081836,1081836,1081836
1079136,1079136,1079136
1075905,1075905,1075905
183258,183258,183258
558616,558616,558616
1144856,1144856,1144856
1977461,1977461,1977461
3120186,3120186,3120186
4701446,4701446,4701446
7050724,7050724,7050724
12022902,12022902,12022903
13515565,13515565,13515565
13501407,13501407,13501407
114369,114369,114369
366557,366557,366557
843317,843317,843317
1097712,1097712,1097712
1095875,1095875,1095875
1093270,1093270,1093270
1089805,1089805,1089805
1085406,1085406,1085406
1080002,1080002,1080002
1073539,1073539,1073539
45544,45544,45545
137172,137172,137172
275979,275979,275979
463649,463649,463649
702507,702507,702507
995594,995594,995594
1347048,1347048,1347048
1763234,1763234,1763234
2251238,2251238,2251238
2822043,2822043,2822043
27978,27978,27978
85156,85156,85156
174210,174210,174210
300120,300120,300120
471964,471964,471964
708436,708436,708436
1061659,1061659,1061659
1082733,1082733,1082733
1081383,1081383,1081383
1079769,1079769,1079769
369439,369439,369439
1144856,1144856,1144856
2418948,2418948,2418949
4417777,4417777,4417777
7901979,7901979,7901980
13527582,13527582,13527582
13509920,13509920,13509920
13488747,13488747,13488747
13464006,13464006,13464006
13435650,13435650,13435650
235897,235897,235897
837557,837557,837557
1141029,1141029,1141029
1138691,1138691,1138691
1135019,1135019,1135019
1129803,1129803,1129803
1122867,1122867,1122867
1114058,1114058,1114058
1103236,1103236,1103236
1090286,1090286,1090286
22750,22750,22750
68384,68384,68384
137172,137172,137172
229526,229526,229526
346004,346004,346004
487319,487319,487319
654350,654350,654350
848156,848156,848156
1069994,1069994,1069994
1321567,1321567,1321567
13939,13939,13939
42118,42118,42118
85156,85156,85156
144049,144049,144049
220390,220390,220390
316521,316521,316521
436100,436100,436100
585211,585211,585211
775252,775252,775252
1032703,1032703,1032703
10000000,10000000,10000001
27396082137220999023,27380798923090509820,27380798923090508561
41094123201,41071198380,41071198380
110019607294006757921,109773543398045339222,109773543398045339179
165029410921,164660315077,164660315077
277251554129756653576,275694220102286004483,275694220102962915878
415877331149,413541330105,413541330105
10000000000000052159,10000000000000052159,9999999999999823947
400422737531893133,400422737531893133,400422737531893133
9430604328351345827239782908052815498,9197047924462043105180527874002463331,9197047924451785755249769441779647990
8616843969807097649091,8368760783685659078872,8368760783685659078862
799999999962985495164,799999999956168078397,799999999956168060028
